damage_class,xmin,ymin,xmax,ymax
no-damage,289,196,319,230
minor-damage,87,168,102,223
minor-damage,259,309,271,354
no-damage,12,341,44,364
no-damage,120,437,135,445
no-damage,198,425,246,456
no-damage,244,423,263,443
no-damage,265,450,283,460
no-damage,121,466,134,500
un-classified,55,501,69,511
no-damage,191,510,216,524
no-damage,152,561,166,575
minor-damage,237,613,261,647
major-damage,205,756,226,775
minor-damage,201,768,217,782
no-damage,195,777,210,793
no-damage,288,872,310,890
major-damage,502,822,533,852
no-damage,403,951,418,965
no-damage,410,923,455,960
no-damage,575,596,624,647
un-classified,722,740,734,751
no-damage,690,745,722,774
destroyed,857,840,899,856
major-damage,833,959,852,970
no-damage,861,580,874,598
no-damage,818,573,863,614
no-damage,819,501,836,509
no-damage,825,486,874,501
no-damage,856,530,878,552
minor-damage,26,194,33,211
minor-damage,18,198,26,207
no-damage,43,82,72,119
no-damage,136,88,143,98
un-classified,155,59,173,78
destroyed,152,40,164,54
no-damage,642,29,657,68
minor-damage,795,7,809,16
no-damage,850,135,862,171
minor-damage,997,145,1011,161
no-damage,942,341,958,355
no-damage,123,753,164,790
no-damage,134,774,158,795
major-damage,125,742,165,774
minor-damage,7,469,45,483
minor-damage,16,479,26,487
un-classified,23,0,37,10
destroyed,216,668,230,681
