epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,0.19397896936930573,0.3327339520461171,0.8511318564414978,0.8475416302680969,0.8476449251174927,0.8903774619102478,0.6936830878257751,0.7798184156417847,11018.0,8584.0,0.7843254804611206,0.9531079530715942,0.8605185151100159,11004.0,13372.0,0.8491877317428589,0.977699875831604,0.9089237451553345,11121.0,12804.0,0.9114686250686646,0.7804834842681885,0.8409058451652527,11252.0,9635.0,0.8878841400146484,0.46537309885025024,0.911920428276062,0.9893266558647156,0.890625,0.9373847842216492,11136.0,10025.0,0.015555555932223797,0.10294117778539658,0.027027027681469917,68.0,450.0,0.0803212821483612,0.40816327929496765,0.1342281848192215,49.0,249.0,0.6489841938018799,0.9251810312271118,0.7628524303436279,1243.0,1772.0
2,0.057484039318805184,0.18643757844280662,0.9530352354049683,0.9525829553604126,0.9525972604751587,0.9425746202468872,0.8971133828163147,0.9192823171615601,11051.0,10518.0,0.9551966786384583,0.9924221634864807,0.97345370054245,11085.0,11517.0,0.9708618521690369,0.9958588480949402,0.9832015037536621,11108.0,11394.0,0.942276120185852,0.9266433715820312,0.934394359588623,11151.0,10966.0,0.9496638774871826,0.4863908290863037,0.9503570199012756,0.9796252250671387,0.967133641242981,0.9733393788337708,11136.0,10994.0,0.05000000074505806,0.014705882407724857,0.022727273404598236,68.0,20.0,0.09090909361839294,0.18367347121238708,0.12162162363529205,49.0,99.0,0.785972535610199,0.8744971752166748,0.8278750777244568,1243.0,1383.0
3,0.041578902327438806,0.2650648988539052,0.9650861620903015,0.9649204611778259,0.9648482203483582,0.9564400911331177,0.9200758337974548,0.9379056096076965,11073.0,10652.0,0.9675227403640747,0.9936553835868835,0.9804149270057678,11033.0,11331.0,0.9824607968330383,0.9980103373527527,0.9901745319366455,11057.0,11232.0,0.9533989429473877,0.9489850401878357,0.9511868357658386,11232.0,11180.0,0.9258962869644165,0.4750497341156006,0.9293664693832397,0.9882790446281433,0.931303858757019,0.9589459300041199,11136.0,10494.0,0.0,0.0,0.0,68.0,19.0,0.3181818127632141,0.1428571492433548,0.19718310236930847,49.0,22.0,0.60785311460495,0.9589702486991882,0.7440699338912964,1243.0,1961.0
4,0.032545570627052246,0.24872638710736128,0.9734655022621155,0.973254919052124,0.9733290076255798,0.9668595790863037,0.9390697479248047,0.9527620673179626,11029.0,10712.0,0.9773244857788086,0.9958961606025696,0.986522912979126,11209.0,11422.0,0.9866381883621216,0.9981975555419922,0.9923841953277588,11096.0,11226.0,0.9624829888343811,0.9602205753326416,0.9613504409790039,11061.0,11035.0,0.9238956570625305,0.48737430572509766,0.9276990294456482,0.9871269464492798,0.9295976758003235,0.9574989676475525,11136.0,10487.0,0.11999999731779099,0.04411764815449715,0.06451612710952759,68.0,25.0,0.4285714328289032,0.12244898080825806,0.190476194024086,49.0,14.0,0.6010152101516724,0.9525341987609863,0.737005889415741,1243.0,1970.0
5,0.030651748916466794,0.2759778588722215,0.9746367931365967,0.97458416223526,0.974514365196228,0.9677091836929321,0.9419001340866089,0.9546302556991577,11136.0,10839.0,0.9804999232292175,0.9963073134422302,0.9883403778076172,11103.0,11282.0,0.9862546324729919,0.9980907440185547,0.9921373724937439,10999.0,11131.0,0.9638338088989258,0.9626243710517883,0.963228702545166,11157.0,11143.0,0.9163732528686523,0.46433645486831665,0.9220725893974304,0.9887109398841858,0.9201688170433044,0.9532092809677124,11136.0,10364.0,0.05000000074505806,0.029411764815449715,0.03703703731298447,68.0,40.0,0.25,0.10204081982374191,0.14492753148078918,49.0,20.0,0.5777027010917664,0.962992787361145,0.7221719622612,1243.0,2072.0
6,0.026219374994408788,0.49983946982655936,0.978308379650116,0.9782828688621521,0.9782193303108215,0.9720737338066101,0.9494103789329529,0.9606084227561951,11109.0,10850.0,0.9837856888771057,0.9967857003211975,0.9902430176734924,11200.0,11348.0,0.9889161586761475,0.998440682888031,0.9936555624008179,10902.0,11007.0,0.9683645963668823,0.9688841104507446,0.9686242938041687,11184.0,11190.0,0.8264244794845581,0.4149211645126343,0.8590999245643616,0.9914055466651917,0.8183369040489197,0.89659583568573,11136.0,9192.0,0.01796407252550125,0.0882352963089943,0.02985074557363987,68.0,334.0,0.08260869234800339,0.3877550959587097,0.1362007111310959,49.0,230.0,0.4339416027069092,0.9565567374229431,0.5970374345779419,1243.0,2740.0
7,0.02170137961846152,0.2485413803460548,0.9824304580688477,0.9823147058486938,0.9823790788650513,0.9778475165367126,0.9582993984222412,0.9679747819900513,11055.0,10834.0,0.9877961874008179,0.9972122311592102,0.9924818873405457,11120.0,11226.0,0.9932480454444885,0.9986600875854492,0.9959467053413391,11195.0,11256.0,0.9704846739768982,0.9752380847930908,0.9728555679321289,11025.0,11079.0,0.9238156080245972,0.4831353425979614,0.9349759817123413,0.9876131415367126,0.9307650923728943,0.9583468437194824,11136.0,10495.0,0.032258063554763794,0.0882352963089943,0.04724409431219101,68.0,186.0,0.0765027329325676,0.2857142984867096,0.12068965286016464,49.0,183.0,0.7101715803146362,0.9324215650558472,0.806260883808136,1243.0,1632.0
8,0.02095464348860296,0.19121056951283735,0.9824079275131226,0.9823711514472961,0.9823508262634277,0.9790158271789551,0.9584641456604004,0.9686310291290283,11147.0,10913.0,0.9857333898544312,0.9968439936637878,0.9912575483322144,11090.0,11215.0,0.9918407797813416,0.9987360239028931,0.9952764511108398,11076.0,11153.0,0.9729170203208923,0.9757264256477356,0.9743196964263916,11082.0,11114.0,0.9561459422111511,0.537642240524292,0.9568250179290771,0.980128288269043,0.9744073152542114,0.9772593975067139,11136.0,11071.0,0.04918032884597778,0.04411764815449715,0.04651162773370743,68.0,61.0,0.22972972691059113,0.3469387888908386,0.27642276883125305,49.0,74.0,0.8348837494850159,0.866452157497406,0.8503750562667847,1243.0,1290.0
9,0.014792024321162878,0.17717903975715815,0.9873859882354736,0.9874213933944702,0.9873580932617188,0.9852275848388672,0.9690337777137756,0.9770635962486267,11012.0,10831.0,0.9936811923980713,0.9990017414093018,0.9963343143463135,11019.0,11078.0,0.9933912754058838,0.9988166689872742,0.9960966110229492,10986.0,11046.0,0.9775349497795105,0.9828616380691528,0.9801910519599915,11378.0,11440.0,0.9636683464050293,0.5491057634353638,0.9613242149353027,0.9839059710502625,0.9771910905838013,0.9805370569229126,11136.0,11060.0,0.0,0.0,0.0,68.0,1.0,0.4516128897666931,0.2857142984867096,0.3499999940395355,49.0,31.0,0.8162392973899841,0.9219629764556885,0.8658859133720398,1243.0,1404.0
10,0.01817179444757256,0.4372443136457792,0.9854037761688232,0.9853501319885254,0.9853655099868774,0.9815376400947571,0.9657478332519531,0.973578691482544,11065.0,10887.0,0.9893314242362976,0.9980269074440002,0.9936601519584656,11150.0,11248.0,0.9937180280685425,0.9990075826644897,0.9963557720184326,11084.0,11143.0,0.97688227891922,0.978731095790863,0.9778057932853699,11096.0,11117.0,0.8485115170478821,0.4322197139263153,0.8744484186172485,0.9917504191398621,0.8420438170433044,0.9107862710952759,11136.0,9455.0,0.013201320543885231,0.05882352963089943,0.021563341841101646,68.0,303.0,0.12871287763118744,0.26530611515045166,0.1733333319425583,49.0,101.0,0.4584755301475525,0.9726468324661255,0.6231958866119385,1243.0,2637.0
