epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed
1,0.16109202280526536,0.49933022804602345,0.9569095373153687,0.4392394721508026,0.9503724575042725,0.9652006030082703,0.9905030131340027,0.9776881337165833,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.5,0.029069768264889717,0.05494523420929909,172.0,0.8174054622650146,0.6502749919891357,0.7243243455886841,3091.0,0.9002881050109863,0.28607264161109924,0.8635480403900146,0.9011354446411133,0.9977550506591797,0.9469871520996094,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,1.0,2.0408164047580613e-09,1.0408162154362799e-07,49.0,0.8373494148254395,0.11182622611522675,0.19730313122272491,1243.0
2,0.12083062506633105,0.5450480489493192,0.9673386812210083,0.49002590775489807,0.962432861328125,0.9753243923187256,0.9916533827781677,0.9834210276603699,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.5925925970077515,0.09302325546741486,0.1608041375875473,172.0,0.8536585569381714,0.7813005447387695,0.8158783912658691,3091.0,0.8990877270698547,0.3999898433685303,0.8612241744995117,0.8991515040397644,0.9991918206214905,0.9465356469154358,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,9.999998695775503e-08,2.0408164047580613e-09,0.4949495196342468,49.0,0.8999999761581421,0.08688656240701675,0.15847402811050415,1243.0
3,0.1102229179405159,0.11531493305871764,0.9716184139251709,0.5278846025466919,0.9672636985778809,0.9787845015525818,0.9926080107688904,0.9856477975845337,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.6666666865348816,0.1744185984134674,0.2764977514743805,172.0,0.8745716214179993,0.8256227970123291,0.8493926525115967,3091.0,0.9705505967140198,0.4775775074958801,0.9653224945068359,0.9699851870536804,0.9982938170433044,0.9839358925819397,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,0.3333333730697632,0.02040816657245159,0.03846181556582451,49.0,0.9786821603775024,0.8125503063201904,0.8879120945930481,1243.0
4,0.10132457844454054,0.2593135738966699,0.9733077883720398,0.5282867550849915,0.9691228270530701,0.9808966517448425,0.9928772449493408,0.9868505597114563,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.5555555820465088,0.1744185984134674,0.26548683643341064,172.0,0.8757951259613037,0.8463280200958252,0.8608095049858093,3091.0,0.9301376342773438,0.3822275996208191,0.9139907360076904,0.9281781911849976,0.9991918206214905,0.9623767733573914,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,1.0,2.0408164047580613e-09,1.0408162154362799e-07,49.0,0.9763779640197754,0.3990345895290375,0.5665334463119507,1243.0
5,0.0946121808907731,0.19075447670511586,0.9749071002006531,0.5438300967216492,0.9708227515220642,0.981945812702179,0.9931220412254333,0.9875022768974304,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.686274528503418,0.20348836481571198,0.3139013946056366,172.0,0.8835979104042053,0.864445149898529,0.8739165663719177,3091.0,0.9427016377449036,0.5783809423446655,0.9344525337219238,0.9411764740943909,0.9985632300376892,0.9690209627151489,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,5.000000058430487e-08,2.0408164047580613e-09,0.6577180624008179,49.0,0.9720176458358765,0.5309734344482422,0.6867846250534058,1243.0
6,0.09141116303922502,0.23895313306265753,0.9766865372657776,0.5569019317626953,0.972740113735199,0.9832433462142944,0.9938808083534241,0.9885334372520447,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.6833333373069763,0.2383720874786377,0.3534483015537262,172.0,0.8933508992195129,0.8780329823493958,0.8856257200241089,3091.0,0.912451982498169,0.45271366834640503,0.8875828385353088,0.9117960333824158,0.998832643032074,0.9533318877220154,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,9.999998695775503e-08,2.0408164047580613e-09,0.4949495196342468,49.0,0.9425675868988037,0.22445696592330933,0.36257314682006836,1243.0
7,0.08310324941313577,0.2610597929248409,0.9782407879829407,0.5540088415145874,0.9743032455444336,0.9846321940422058,0.9942724108695984,0.9894288182258606,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.6440678238868713,0.22093023359775543,0.3290043771266937,172.0,0.8990587592124939,0.8961501121520996,0.8976020216941833,3091.0,0.9246959090232849,0.44411590695381165,0.9060862064361572,0.922879159450531,0.9993714094161987,0.9596033692359924,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,0.7142857313156128,0.20408163964748383,0.31746038794517517,49.0,0.9834515452384949,0.3346741795539856,0.4993998110294342,1243.0
8,0.07530157391575061,0.23578622662599252,0.9799076318740845,0.5658158659934998,0.9760578274726868,0.9855736494064331,0.9949578046798706,0.9902434945106506,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.6615384817123413,0.25,0.3628692626953125,172.0,0.9108878970146179,0.9094144105911255,0.9101505875587463,3091.0,0.9320582747459412,0.43228134512901306,0.918262779712677,0.9320070743560791,0.9970366358757019,0.9634256958961487,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,0.5555555820465088,0.10204081982374191,0.1724139153957367,49.0,0.9390243887901306,0.4336283206939697,0.5932856798171997,1243.0
9,0.06590664812076169,0.32885131369114434,0.9819799661636353,0.5766147375106812,0.9781456589698792,0.9871141314506531,0.995643138885498,0.9913602471351624,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.7758620977401733,0.2616279125213623,0.3913044035434723,172.0,0.9181846976280212,0.9294726848602295,0.923794150352478,3091.0,0.9233354926109314,0.48633015155792236,0.9053073525428772,0.9212878942489624,0.999550998210907,0.9588251113891602,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,9.999998695775503e-08,2.0408164047580613e-09,0.4949495196342468,49.0,0.9854721426963806,0.32743361592292786,0.4915459156036377,1243.0
10,0.059151343044032974,0.168212777007142,0.9829260110855103,0.5834376215934753,0.979192852973938,0.9877433180809021,0.9961326718330383,0.9919202327728271,40855.0,1.0,3.6101083233930353e-10,1.0072201206412501e-07,277.0,0.7042253613471985,0.2906976640224457,0.41152268648147583,172.0,0.9256886839866638,0.9349725246429443,0.9303073883056641,3091.0,0.9684699177742004,0.4641992449760437,0.962818443775177,0.9675483107566833,0.998652994632721,0.9828546047210693,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,1.0,2.0408164047580613e-09,1.0408162154362799e-07,49.0,0.9790419340133667,0.7892196178436279,0.8739420771598816,1243.0
11,0.04853832553107186,0.14735872428718896,0.9849758148193359,0.5944784879684448,0.9814810752868652,0.9894084930419922,0.9969159364700317,0.9931480288505554,40855.0,0.25,0.010830325074493885,0.020761623978614807,277.0,0.6842105388641357,0.302325576543808,0.4193548560142517,172.0,0.9369828104972839,0.9524425864219666,0.9446494579315186,3091.0,0.9763924479484558,0.4868454933166504,0.9718186259269714,0.979499876499176,0.9954202771186829,0.9873958826065063,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,0.2500000298023224,0.02040816657245159,0.037736210972070694,49.0,0.9489361643791199,0.8970233201980591,0.9222497940063477,1243.0
12,0.04061780524569819,0.2541158231405147,0.9868228435516357,0.6709738373756409,0.9846471548080444,0.9914796352386475,0.996891438961029,0.9941781163215637,40855.0,0.5555555820465088,0.144404336810112,0.2292264699935913,277.0,0.72826087474823,0.3895348906517029,0.5075758695602417,172.0,0.9435458183288574,0.9624716639518738,0.9529147744178772,3091.0,0.9471830725669861,0.49503254890441895,0.9388830065727234,0.9472830891609192,0.9972162246704102,0.971608579158783,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,0.4761904776096344,0.20408163964748383,0.28571438789367676,49.0,0.958776593208313,0.5800482630729675,0.7228071093559265,1243.0
13,0.0334616974040746,0.2979861836537628,0.9890978932380676,0.7237510085105896,0.9877856373786926,0.9934922456741333,0.9976992011070251,0.9955912828445435,40855.0,0.6899224519729614,0.32129964232444763,0.43842366337776184,277.0,0.6800000071525574,0.39534884691238403,0.5000000596046448,172.0,0.9537922143936157,0.9682950377464294,0.9609889388084412,3091.0,0.945742666721344,0.4498502016067505,0.9365236759185791,0.9450157284736633,0.9985632300376892,0.971051812171936,11136.0,1.0,1.4705882067644893e-09,1.0294116492559624e-07,68.0,0.21052631735801697,0.08163265138864517,0.11764737218618393,49.0,0.9774647951126099,0.5583266019821167,0.7107014656066895,1243.0
14,0.029095146666526964,0.21142657625654593,0.9900889992713928,0.7662788033485413,0.9894657731056213,0.994921863079071,0.9974789023399353,0.9961987733840942,40855.0,0.6632652878761292,0.4693140685558319,0.5496829748153687,277.0,0.6535432934761047,0.48255813121795654,0.5551839470863342,172.0,0.9607968926429749,0.9673244953155518,0.9640496373176575,3091.0,0.9643085598945618,0.8090401291847229,0.9658186435699463,0.9698858857154846,0.9920079112052917,0.9808222055435181,11136.0,3.333333253863202e-08,1.4705882067644893e-09,0.7418181896209717,68.0,5.000000058430487e-08,2.0408164047580613e-09,0.6577180624008179,49.0,0.9109899997711182,0.806918740272522,0.855802059173584,1243.0
