epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,0.7943000778919314,4.024214715299094,0.3362385332584381,0.22587370872497559,0.22601445019245148,0.0,0.0,0.0,1652.0,1.0,0.32292360067367554,0.5820358991622925,0.4153846204280853,1670.0,3010.0,0.34692132472991943,0.7573117613792419,0.4758553206920624,1607.0,3508.0,0.4761904776096344,0.00620732456445694,0.01225490216165781,1611.0,21.0,0.004001280292868614,0.00549241341650486,0.00010771579400170594,0.0,0.0,0.0,11136.0,0.0,0.009345794096589088,0.029411764815449715,0.014184396713972092,68.0,214.0,0.003908158279955387,0.9795918464660645,0.007785256486386061,49.0,12282.0,0.0,0.0,0.0,1243.0,0.0
2,0.6288631245857332,3.944573047978189,0.40504586696624756,0.274858683347702,0.2764551639556885,1.0,0.002453987719491124,0.004895960912108421,1630.0,4.0,0.4024033844470978,0.7459361553192139,0.5227848291397095,1661.0,3079.0,0.4036109447479248,0.8503067493438721,0.5473933815956116,1630.0,3434.0,0.8695651888847351,0.012353304773569107,0.02436053566634655,1619.0,23.0,0.00696222810074687,0.007938141003251076,0.00014288153033703566,0.0,0.0,0.0,11136.0,0.0,0.0060837287455797195,0.8676470518112183,0.012082736007869244,68.0,9698.0,0.010007147677242756,0.5714285969734192,0.019669827073812485,49.0,2798.0,0.0,0.0,0.0,1243.0,0.0
3,0.5065641731023789,2.7913700735477533,0.46972477436065674,0.3575044274330139,0.35720330476760864,0.7857142686843872,0.006650544237345457,0.013189448043704033,1654.0,14.0,0.42959725856781006,0.8385130763053894,0.5681254863739014,1641.0,3203.0,0.4755783975124359,0.9051987528800964,0.6235517263412476,1635.0,3112.0,0.971563994884491,0.12732918560504913,0.22515101730823517,1610.0,211.0,0.02472791261970997,0.08680693060159683,0.030558627098798752,0.0,0.0,0.0,11136.0,0.0,0.005735429935157299,0.9117646813392639,0.011399154551327229,68.0,10810.0,0.015731874853372574,0.4693877696990967,0.03044341504573822,49.0,1462.0,1.0,0.1802091747522354,0.30538514256477356,1243.0,224.0
4,0.41517591767194795,4.503747722338837,0.5114678740501404,0.40478989481925964,0.40770673751831055,0.8888888955116272,0.004953560419380665,0.009852216579020023,1615.0,9.0,0.43766897916793823,0.8835657835006714,0.5853756666183472,1649.0,3329.0,0.5427770018577576,0.9319686889648438,0.686018168926239,1661.0,2852.0,0.9485714435577393,0.20557275414466858,0.33791348338127136,1615.0,350.0,0.013844430446624756,0.040338218212127686,0.01310494914650917,0.0,0.0,0.0,11136.0,0.0,0.006114273797720671,0.8529411554336548,0.012141511775553226,68.0,9486.0,0.009595612995326519,0.5714285969734192,0.018874283879995346,49.0,2918.0,0.945652186870575,0.06999195367097855,0.13033707439899445,1243.0,92.0
5,0.3954634890323732,4.279802769803635,0.5237002968788147,0.42999422550201416,0.42776063084602356,0.8367347121238708,0.02472858875989914,0.048037491738796234,1658.0,49.0,0.44243931770324707,0.9017121195793152,0.5936130285263062,1577.0,3214.0,0.546503484249115,0.9461259245872498,0.6928191781044006,1652.0,2860.0,0.9568345546722412,0.24137930572032928,0.3855072557926178,1653.0,417.0,0.03873239457607269,0.1258355975151062,0.04760909080505371,1.0,8.979885024018586e-05,0.00017958157695829868,11136.0,1.0,0.008102506399154663,0.6323529481887817,0.01600000075995922,68.0,5307.0,0.005782060790807009,0.795918345451355,0.011480717919766903,49.0,6745.0,0.9051918983459473,0.3226065933704376,0.4756820797920227,1243.0,443.0
6,0.33553404037545365,2.468683724498848,0.5720183253288269,0.4828702211380005,0.4873810410499573,0.8730158805847168,0.034526050090789795,0.06642512232065201,1593.0,63.0,0.4691247045993805,0.9254878759384155,0.6226377487182617,1691.0,3336.0,0.6123941540718079,0.9630750417709351,0.7487058639526367,1652.0,2598.0,0.9760589599609375,0.3304239511489868,0.4937121570110321,1604.0,543.0,0.07962547987699509,0.20919020473957062,0.08589547127485275,1.0,0.0034123563673347235,0.006801503710448742,11136.0,38.0,0.0058375028893351555,0.720588207244873,0.011581186205148697,68.0,8394.0,0.008687258698046207,0.5510203838348389,0.017104845494031906,49.0,3108.0,0.9215481281280518,0.7087690830230713,0.8012732863426208,1243.0,956.0
7,0.2869230197697151,2.834880977068716,0.5940366983413696,0.5209881067276001,0.5238166451454163,0.9171974658966064,0.08988764137029648,0.16372938454151154,1602.0,157.0,0.4799373149871826,0.9462299346923828,0.6368552446365356,1618.0,3190.0,0.6269810795783997,0.9706762433052063,0.7618600130081177,1671.0,2587.0,0.9702970385551453,0.3565797507762909,0.521507740020752,1649.0,606.0,0.06906209886074066,0.1891980618238449,0.07358480244874954,1.0,0.0013469827827066183,0.002690341789275408,11136.0,15.0,0.005954152904450893,0.8823529481887817,0.011828486807644367,68.0,10077.0,0.014656895771622658,0.44897958636283875,0.028387097641825676,49.0,1501.0,0.8482834696769714,0.6162509918212891,0.7138863205909729,1243.0,903.0
8,0.2544074718908566,2.2323400148040498,0.603822648525238,0.5338406562805176,0.5336863398551941,0.914893627166748,0.07894736528396606,0.14535211026668549,1634.0,141.0,0.474962055683136,0.9542682766914368,0.6342452168464661,1640.0,3295.0,0.6581548452377319,0.9821757674217224,0.7881627678871155,1627.0,2428.0,0.9718934893608093,0.4008541703224182,0.5676025748252869,1639.0,676.0,0.08698783814907074,0.15260709822177887,0.1411942094564438,0.9951534867286682,0.05531609058380127,0.10480646789073944,11136.0,619.0,0.005394470877945423,0.5882353186607361,0.010690899565815926,68.0,7415.0,0.007920792326331139,0.6530612111091614,0.015651749446988106,49.0,4040.0,0.9454976320266724,0.32099759578704834,0.4792792797088623,1243.0,422.0
9,0.2392597645157721,1.5570007283669298,0.623547375202179,0.5667018890380859,0.564798891544342,0.9004524946212769,0.12060605734586716,0.21272046864032745,1650.0,221.0,0.49113529920578003,0.962218165397644,0.6503294706344604,1641.0,3215.0,0.6648281812667847,0.9806007742881775,0.792414665222168,1598.0,2357.0,0.9812583923339844,0.4439733624458313,0.6113427877426147,1651.0,747.0,0.23615556955337524,0.26681435108184814,0.3588044345378876,0.9786654710769653,0.19360631704330444,0.32326260209083557,11136.0,2203.0,0.0069382935762405396,0.6911764740943909,0.01373867318034172,68.0,6774.0,0.010603290982544422,0.5918367505073547,0.02083333395421505,49.0,2735.0,0.9170918464660645,0.5784392356872559,0.709422767162323,1243.0,784.0
10,0.2379275096807538,2.216156459830301,0.6299694180488586,0.5704805254936218,0.5727699995040894,0.9336099624633789,0.1407129466533661,0.2445652186870575,1599.0,241.0,0.5055152773857117,0.9651023149490356,0.6634953618049622,1662.0,3173.0,0.6650144457817078,0.9829059839248657,0.7932988405227661,1638.0,2421.0,0.9659574627876282,0.4149908721446991,0.5805626511573792,1641.0,705.0,0.06442061811685562,0.15843865275382996,0.09251052141189575,1.0,0.020743533968925476,0.04064396768808365,11136.0,231.0,0.0054938034154474735,0.6323529481887817,0.010892970487475395,68.0,7827.0,0.008919470012187958,0.7142857313156128,0.017618928104639053,49.0,3924.0,0.9649805426597595,0.3990345895290375,0.5645987391471863,1243.0,514.0
11,0.21156832161473066,1.7925619367138503,0.6512232422828674,0.6051814556121826,0.6061924695968628,0.9386503100395203,0.18959107995033264,0.31546393036842346,1614.0,326.0,0.5152809619903564,0.9667077660560608,0.6722400784492493,1622.0,3043.0,0.678360104560852,0.9798534512519836,0.8016983270645142,1638.0,2366.0,0.9689440727233887,0.46818727254867554,0.6313233375549316,1666.0,805.0,0.25912290811538696,0.2760830819606781,0.38113588094711304,0.9885979890823364,0.2102191150188446,0.3467120826244354,11136.0,2368.0,0.008706731721758842,0.6029411554336548,0.01716558448970318,68.0,4709.0,0.008411002345383167,0.7551020383834839,0.016636690124869347,49.0,4399.0,0.8029412031173706,0.6588897705078125,0.7238179445266724,1243.0,1020.0
12,0.1834540383117955,2.41397442979276,0.6766055226325989,0.6416155099868774,0.6416699290275574,0.9174311757087708,0.2460024654865265,0.3879728317260742,1626.0,436.0,0.5268924236297607,0.9730226993560791,0.6836097240447998,1631.0,3012.0,0.7202702760696411,0.9852125644683838,0.8321623802185059,1623.0,2220.0,0.9621559381484985,0.5054216980934143,0.6627172231674194,1660.0,872.0,0.1499679833650589,0.2344026416540146,0.22203508019447327,0.9960591197013855,0.0907866358757019,0.16640605032444,11136.0,1015.0,0.005725971423089504,0.6176470518112183,0.011346750892698765,68.0,7335.0,0.010125805623829365,0.6734693646430969,0.019951632246375084,49.0,3259.0,0.8883877992630005,0.6339501142501831,0.7399061322212219,1243.0,887.0
13,0.21701531642820776,2.572922884312737,0.6588684916496277,0.6172531843185425,0.6174299716949463,0.9203296899795532,0.2046426385641098,0.3348325788974762,1637.0,364.0,0.5135576725006104,0.956204354763031,0.6682252883911133,1644.0,3061.0,0.7036553621292114,0.9835766553878784,0.8203957676887512,1644.0,2298.0,0.9608322978019714,0.48606809973716736,0.6455591917037964,1615.0,817.0,0.089228555560112,0.20384596288204193,0.11665049195289612,1.0,0.025053879246115685,0.048883046954870224,11136.0,279.0,0.005875042174011469,0.7647058963775635,0.011660500429570675,68.0,8851.0,0.010993325151503086,0.5714285969734192,0.021571649238467216,49.0,2547.0,0.9230769276618958,0.6082059741020203,0.733268678188324,1243.0,819.0
14,0.1820366951387103,2.049887406704066,0.6949541568756104,0.6681921482086182,0.667763888835907,0.935661792755127,0.30552220344543457,0.4606334865093231,1666.0,544.0,0.5381399989128113,0.9753788113594055,0.6936026811599731,1584.0,2871.0,0.7351618409156799,0.9825721383094788,0.8410493731498718,1664.0,2224.0,0.9500554800033569,0.5264452695846558,0.6774832010269165,1626.0,901.0,0.24479833245277405,0.2497844099998474,0.36396345496177673,0.9942957162857056,0.2034841924905777,0.3378307819366455,11136.0,2279.0,0.0069605568423867226,0.5735294222831726,0.01375418808311224,68.0,5603.0,0.008422235026955605,0.6122449040412903,0.016615895554423332,49.0,3562.0,0.6882129311561584,0.5824617743492126,0.6309368014335632,1243.0,1052.0
15,0.15853155544254838,1.8088866155832777,0.7229357957839966,0.6965159177780151,0.6994443535804749,0.932659924030304,0.3497474789619446,0.5087236166000366,1584.0,594.0,0.5780116319656372,0.9791026711463928,0.7268993854522705,1627.0,2756.0,0.7507802248001099,0.9923394322395325,0.8548223376274109,1697.0,2243.0,0.947201669216156,0.5496323704719543,0.6956184506416321,1632.0,947.0,0.23495519161224365,0.1953495293855667,0.29854080080986023,0.9967444539070129,0.16496048867702484,0.28307265043258667,11136.0,1843.0,0.00815827026963234,0.5882353186607361,0.016093341633677483,68.0,4903.0,0.009493670426309109,0.4897959232330322,0.01862630993127823,49.0,2528.0,0.3212290406227112,0.8326629400253296,0.4636058211326599,1243.0,3222.0
