epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,6.474465395013492,2.2224359768889417,0.5473848581314087,0.499220073223114,0.5214841365814209,0.6312232613563538,0.5604000091552734,0.5937069654464722,5000.0,4439.0,0.49346455931663513,0.7421368956565857,0.5927773118019104,4324.0,6503.0,0.40807652473449707,0.13070115447044373,0.19798916578292847,2938.0,941.0,0.5789625644683838,0.6499514579772949,0.6124066710472107,3091.0,3470.0,0.8361075520515442,0.40445658564567566,0.8687121272087097,0.9795747399330139,0.8397988677024841,0.9043175578117371,11136.0,9547.0,0.045045044273138046,0.14705882966518402,0.06896551698446274,68.0,222.0,0.009578543715178967,0.10204081982374191,0.017513135448098183,49.0,522.0,0.4902494251728058,0.8696701526641846,0.6270301342010498,1243.0,2205.0
2,3.063571085780859,1.4656477312907539,0.6459975242614746,0.6090422868728638,0.6266573667526245,0.7280569076538086,0.6751999855041504,0.7006329894065857,5000.0,4637.0,0.541775643825531,0.814292311668396,0.6506513953208923,4324.0,6499.0,0.5868971943855286,0.21953709423542023,0.3195442259311676,2938.0,1099.0,0.7620269656181335,0.7686832547187805,0.7653406262397766,3091.0,3118.0,0.8954865336418152,0.4379693269729614,0.913650393486023,0.9825246334075928,0.9037356376647949,0.9414846301078796,11136.0,10243.0,0.02857142873108387,0.13235294818878174,0.04699739068746567,68.0,315.0,0.010204081423580647,0.040816325694322586,0.016326529905200005,49.0,196.0,0.6400688886642456,0.8970233201980591,0.7470687031745911,1243.0,1742.0
3,2.6078845423956714,1.3994678669725842,0.6253501176834106,0.5801407098770142,0.5994993448257446,0.6643471717834473,0.725600004196167,0.693623960018158,5000.0,5461.0,0.5202544331550598,0.7187789082527161,0.6036123633384705,4324.0,5974.0,0.5431952476501465,0.15622872114181519,0.24266454577445984,2938.0,845.0,0.7829482555389404,0.7783888578414917,0.7806618809700012,3091.0,3073.0,0.9085307121276855,0.4457271695137024,0.9246881008148193,0.9723241925239563,0.9275323152542114,0.9494002461433411,11136.0,10623.0,0.02568807266652584,0.20588235557079315,0.04567699879407883,68.0,545.0,0.0,0.0,0.0,49.0,7.0,0.7645723223686218,0.8125503063201904,0.7878314852714539,1243.0,1321.0
4,2.557101128002008,1.122653526894729,0.6236566305160522,0.5452079176902771,0.5749221444129944,0.6780407428741455,0.7391999959945679,0.7073007225990295,5000.0,5451.0,0.49710381031036377,0.7740517854690552,0.6054083108901978,4324.0,6733.0,0.6000000238418579,0.03778080269694328,0.07108549773693085,2938.0,185.0,0.8113270998001099,0.7832416892051697,0.7970370650291443,3091.0,2984.0,0.9219750165939331,0.44324421882629395,0.9304513335227966,0.9772854447364807,0.938847005367279,0.9576807022094727,11136.0,10698.0,0.02675585262477398,0.11764705926179886,0.04359672963619232,68.0,299.0,0.0,0.0,0.0,49.0,0.0,0.7058038711547852,0.8511665463447571,0.7716994881629944,1243.0,1499.0
5,2.549583154420058,1.2894249553113337,0.6295837759971619,0.5610766410827637,0.5882719159126282,0.694077730178833,0.7360000014305115,0.7144243717193604,5000.0,5302.0,0.5003740787506104,0.7733579874038696,0.6076133251190186,4324.0,6683.0,0.5452054738998413,0.06773315370082855,0.12049651890993118,2938.0,365.0,0.8135198354721069,0.7903590798377991,0.8017722368240356,3091.0,3003.0,0.9223751425743103,0.4467352032661438,0.9302972555160522,0.9841645956039429,0.9320222735404968,0.9573839902877808,11136.0,10546.0,0.0367346927523613,0.13235294818878174,0.057507988065481186,68.0,245.0,0.0,0.0,0.0,49.0,0.0,0.6674486994743347,0.9155269265174866,0.772048830986023,1243.0,1705.0
6,2.4909227415919304,1.3604741686826471,0.6323845386505127,0.5599390864372253,0.5879344344139099,0.6991915702819824,0.7437999844551086,0.7208063006401062,5000.0,5319.0,0.4969870448112488,0.7629509568214417,0.6018974781036377,4324.0,6638.0,0.5,0.05309734493494034,0.09600000083446503,2938.0,312.0,0.8219844102859497,0.8201229572296143,0.821052610874176,3091.0,3084.0,0.9172534942626953,0.4369148313999176,0.9234267473220825,0.984240710735321,0.9253771305084229,0.9539017081260681,11136.0,10470.0,0.04511278122663498,0.0882352963089943,0.05970149114727974,68.0,133.0,0.0,0.0,0.0,49.0,0.0,0.6080296039581299,0.9259855151176453,0.7340561151504517,1243.0,1893.0
7,2.491235708942016,1.3048398703184274,0.6317983269691467,0.5744500160217285,0.5990098118782043,0.7125382423400879,0.7455999851226807,0.7286943197250366,5000.0,5232.0,0.49360573291778564,0.7319611310958862,0.5896050930023193,4324.0,6412.0,0.42533937096595764,0.09598366171121597,0.15662315487861633,2938.0,663.0,0.8289560079574585,0.8168877363204956,0.8228776454925537,3091.0,3046.0,0.9185339212417603,0.4516792893409729,0.9255566596984863,0.9883798956871033,0.9242097735404968,0.9552183151245117,11136.0,10413.0,0.057553958147764206,0.11764705926179886,0.07729468494653702,68.0,139.0,0.0833333358168602,0.020408162847161293,0.032786883413791656,49.0,12.0,0.6092132329940796,0.9469026327133179,0.7414173483848572,1243.0,1932.0
8,2.466508317242066,1.1964924076329106,0.6293232440948486,0.5694395899772644,0.5943754315376282,0.7031835317611694,0.7509999871253967,0.7263056039810181,5000.0,5340.0,0.49138885736465454,0.7192414402961731,0.5838730931282043,4324.0,6329.0,0.40716612339019775,0.08509189635515213,0.14076577126979828,2938.0,614.0,0.8296416997909546,0.8240051865577698,0.826813817024231,3091.0,3070.0,0.9362195730209351,0.44573774933815,0.9373881816864014,0.9716621041297913,0.9606680870056152,0.9661338329315186,11136.0,11010.0,0.0396825410425663,0.07352941483259201,0.05154639109969139,68.0,126.0,0.0,0.0,0.0,49.0,0.0,0.7323529124259949,0.8012872338294983,0.7652708292007446,1243.0,1360.0
9,2.417222038904826,1.2170985755331987,0.6388979554176331,0.581202507019043,0.6055358648300171,0.7210325002670288,0.7541999816894531,0.7372434139251709,5000.0,5230.0,0.49302324652671814,0.7354301810264587,0.5903099775314331,4324.0,6450.0,0.4602917432785034,0.09666439890861511,0.15977495908737183,2938.0,617.0,0.842277467250824,0.8327401876449585,0.837481677532196,3091.0,3056.0,0.9101312160491943,0.45087888836860657,0.9295511841773987,0.9719521403312683,0.9335488677024841,0.9523634910583496,11136.0,10696.0,0.022421523928642273,0.22058823704719543,0.04070556163787842,68.0,669.0,0.0,0.0,0.0,49.0,0.0,0.8505747318267822,0.773934006690979,0.8104465007781982,1243.0,1131.0
10,2.4131778880953787,1.6898686638116227,0.6422197818756104,0.5740295052528381,0.6016837358474731,0.7261402606964111,0.7577999830245972,0.7416324019432068,5000.0,5218.0,0.4967586398124695,0.7620258927345276,0.6014419794082642,4324.0,6633.0,0.42247191071510315,0.06398911029100418,0.11114395409822464,2938.0,445.0,0.8465816378593445,0.8372694849967957,0.8418998122215271,3091.0,3057.0,0.8373079299926758,0.381184846162796,0.8622769713401794,0.9861848950386047,0.8333333134651184,0.9033388495445251,11136.0,9410.0,0.06666667014360428,0.014705882407724857,0.024096384644508362,68.0,15.0,0.014925372786819935,0.06122449040412903,0.024000000208616257,49.0,201.0,0.41080138087272644,0.9485116600990295,0.5733041763305664,1243.0,2870.0
