epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,1.0959667649120093,1.3496114704615014,0.5507718324661255,0.49351048469543457,0.5212584137916565,0.6041778922080994,0.6710000038146973,0.6358381509780884,5000.0,5553.0,0.4765799343585968,0.7412118315696716,0.5801429748535156,4324.0,6725.0,0.45356661081314087,0.11470387876033783,0.18310241401195526,2938.0,743.0,0.6685248613357544,0.5043675303459167,0.5749585032463074,3091.0,2332.0,0.38508322834968567,0.22134584188461304,0.53974848985672,0.986172080039978,0.40346622467041016,0.5726484656333923,11136.0,4556.0,0.005783961154520512,0.5441176295280457,0.01144624873995781,68.0,6397.0,0.003355704713612795,0.06122449040412903,0.006362672429531813,49.0,894.0,0.4298921525478363,0.22445696592330933,0.2949260175228119,1243.0,649.0
2,0.8594552114605903,1.2967332895759427,0.6521852612495422,0.6408610343933105,0.6509203314781189,0.7820542454719543,0.6746000051498413,0.7243638038635254,5000.0,4313.0,0.5398198962211609,0.706984281539917,0.6121958494186401,4324.0,5663.0,0.5072655081748962,0.3921034634113312,0.4423113763332367,2938.0,2271.0,0.7826786637306213,0.7864768505096436,0.7845731973648071,3091.0,3106.0,0.362836092710495,0.26858437061309814,0.5039934515953064,0.9863767623901367,0.3380926847457886,0.5035778880119324,11136.0,3817.0,0.005726184230297804,0.4852941036224365,0.01131881307810545,68.0,5763.0,0.0026350461412221193,0.08163265138864517,0.005105296615511179,49.0,1518.0,0.5236051678657532,0.5888978242874146,0.5543354749679565,1243.0,1398.0
3,0.7731193923080961,1.2615512640351225,0.6893766522407532,0.6816827654838562,0.6891224384307861,0.821285605430603,0.6976000070571899,0.7544068098068237,5000.0,4247.0,0.5609713196754456,0.7425994277000427,0.6391321420669556,4324.0,5724.0,0.5719929933547974,0.44349896907806396,0.4996165633201599,2938.0,2278.0,0.8318299055099487,0.8353284001350403,0.8335754871368408,3091.0,3104.0,0.46646925806999207,0.3000895380973816,0.5875054597854614,0.9909777641296387,0.4241199791431427,0.5940133333206177,11136.0,4766.0,0.008711325004696846,0.4264705777168274,0.017073888331651688,68.0,3329.0,0.0030425963923335075,0.12244898080825806,0.00593765452504158,49.0,1972.0,0.44092220067977905,0.861625075340271,0.5833333134651184,1243.0,2429.0
4,0.7349112069234252,1.5530438141520981,0.7072233557701111,0.7015682458877563,0.7078313231468201,0.8343057036399841,0.7149999737739563,0.7700592279434204,5000.0,4285.0,0.5783368945121765,0.749537467956543,0.6529008746147156,4324.0,5604.0,0.5986537933349609,0.4843430817127228,0.535465657711029,2938.0,2377.0,0.8483964800834656,0.8472986221313477,0.8478472232818604,3091.0,3087.0,0.39828744530677795,0.2825580835342407,0.5095230937004089,0.9947159886360168,0.3380926847457886,0.5046578645706177,11136.0,3785.0,0.007054673507809639,0.23529411852359772,0.013698630034923553,68.0,2268.0,0.006092715077102184,0.4693877696990967,0.012029288336634636,49.0,3775.0,0.4396551847457886,0.9436846375465393,0.599846601486206,1243.0,2668.0
5,0.7077177646259467,1.6511605531072524,0.7177750468254089,0.7136774063110352,0.7186374068260193,0.8350965976715088,0.7261999845504761,0.7768506407737732,5000.0,4348.0,0.5881497859954834,0.7483811378479004,0.6586607098579407,4324.0,5502.0,0.6215320825576782,0.5108917355537415,0.5608070492744446,2938.0,2415.0,0.8588082790374756,0.8579747676849365,0.8583913445472717,3091.0,3088.0,0.30929896235466003,0.2728482186794281,0.41046690940856934,0.9940074682235718,0.23832614719867706,0.38447052240371704,11136.0,2670.0,0.008583690971136093,0.38235294818878174,0.016790442168712616,68.0,3029.0,0.004758814815431833,0.44897958636283875,0.00941780861467123,49.0,4623.0,0.5349586009979248,0.9356395602226257,0.6807140707969666,1243.0,2174.0
6,0.6905919109160702,1.4989671708201355,0.7220738530158997,0.7187331318855286,0.7228885293006897,0.8378503322601318,0.7233999967575073,0.7764301896095276,5000.0,4317.0,0.5869448781013489,0.7611008286476135,0.6627731323242188,4324.0,5607.0,0.642522394657135,0.5132743120193481,0.5706717371940613,2938.0,2347.0,0.8663205504417419,0.8637981414794922,0.8650575280189514,3091.0,3082.0,0.30433738231658936,0.2561418414115906,0.39677807688713074,0.9926922917366028,0.2317708283662796,0.37580081820487976,11136.0,2600.0,0.00641613220795989,0.5147058963775635,0.012674271129071712,68.0,5455.0,0.007861635647714138,0.30612245202064514,0.01532958634197712,49.0,1908.0,0.4626924693584442,0.9428801536560059,0.6207627058029175,1243.0,2533.0
7,0.668879866724213,1.3971560984621267,0.7307366728782654,0.7289642095565796,0.7323505282402039,0.8570080399513245,0.7264000177383423,0.7863174080848694,5000.0,4238.0,0.5910318493843079,0.7590194344520569,0.6645742654800415,4324.0,5553.0,0.6443446278572083,0.537100076675415,0.5858548283576965,2938.0,2449.0,0.8760038614273071,0.8822387456893921,0.8791102766990662,3091.0,3113.0,0.3812420070171356,0.29652172327041626,0.4977852404117584,0.9902533888816833,0.31932470202445984,0.4829225242137909,11136.0,3591.0,0.006310807075351477,0.3529411852359772,0.01239989697933197,68.0,3803.0,0.007223942317068577,0.4285714328289032,0.014208389446139336,49.0,2907.0,0.5298405289649963,0.9356395602226257,0.6765561103820801,1243.0,2195.0
8,0.6606830392653743,1.2605396666185325,0.7336025238037109,0.7301214933395386,0.7346640825271606,0.8602200746536255,0.7347999811172485,0.7925789952278137,5000.0,4271.0,0.5925531983375549,0.7728954553604126,0.6708149313926697,4324.0,5640.0,0.6476595997810364,0.5180394649505615,0.5756429433822632,2938.0,2350.0,0.8813065886497498,0.8815917372703552,0.8814491629600525,3091.0,3092.0,0.4539852738380432,0.32531148195266724,0.5806654691696167,0.9905452728271484,0.40454381704330444,0.5744708180427551,11136.0,4548.0,0.0077325450256466866,0.5,0.015229563228785992,68.0,4397.0,0.011575562879443169,0.36734694242477417,0.02244389057159424,49.0,1555.0,0.5591182112693787,0.8978278636932373,0.6891015768051147,1243.0,1996.0
9,0.6488694733008742,1.6881947853623906,0.7424607276916504,0.7397956848144531,0.7435508370399475,0.860346794128418,0.7441999912261963,0.7980697154998779,5000.0,4325.0,0.6067395210266113,0.7703515291213989,0.6788261532783508,4324.0,5490.0,0.6628099083900452,0.5459496378898621,0.5987308621406555,2938.0,2420.0,0.8797305822372437,0.8874150514602661,0.8835561275482178,3091.0,3118.0,0.31434059143066406,0.29956507682800293,0.4286806285381317,0.9905933141708374,0.2458692491054535,0.39395684003829956,11136.0,2764.0,0.006685108412057161,0.4264705777168274,0.01316386740654707,68.0,4338.0,0.006191117223352194,0.4693877696990967,0.01222104113548994,49.0,3715.0,0.6777843832969666,0.9155269265174866,0.7789185643196106,1243.0,1679.0
10,0.6338005733986696,1.342361023892527,0.745131254196167,0.743048906326294,0.7468279004096985,0.8665137887001038,0.7555999755859375,0.8072649836540222,5000.0,4360.0,0.6036731004714966,0.7601757645606995,0.6729450225830078,4324.0,5445.0,0.6582689881324768,0.5513955354690552,0.6001111268997192,2938.0,2461.0,0.8924522399902344,0.8912973403930664,0.891874372959137,3091.0,3087.0,0.47911331057548523,0.29624953866004944,0.5913673639297485,0.992989718914032,0.43247127532958984,0.6025272011756897,11136.0,4850.0,0.010323791764676571,0.3235294222831726,0.02000909484922886,68.0,2131.0,0.008751902729272842,0.4693877696990967,0.017183413729071617,49.0,2628.0,0.39002424478530884,0.9058728814125061,0.5452784299850464,1243.0,2887.0
