epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,1.0616564088811478,0.426407982473788,0.5695303678512573,0.5073133111000061,0.5340095162391663,0.6298837661743164,0.6610000133514404,0.6450668573379517,5000.0,5247.0,0.4695025086402893,0.7530064582824707,0.5783817172050476,4324.0,6935.0,0.41448691487312317,0.07011572271585464,0.11994177848100662,2938.0,497.0,0.7393417954444885,0.6395988464355469,0.6858629584312439,3091.0,2674.0,0.9478232860565186,0.4428366422653198,0.9434371590614319,0.9565821290016174,0.9892241358757019,0.9726293683052063,11136.0,11516.0,0.02985074557363987,0.029411764815449715,0.029629629105329514,68.0,67.0,0.0,0.0,0.0,49.0,8.0,0.9127072095870972,0.664521336555481,0.769087553024292,1243.0,905.0
2,0.8576226299007733,0.29904487431811555,0.651924729347229,0.6395247578620911,0.6496805548667908,0.7810874581336975,0.6607999801635742,0.7159263491630554,5000.0,4230.0,0.539035975933075,0.7345051169395447,0.6217697858810425,4324.0,5892.0,0.5066789388656616,0.3744043707847595,0.4306126534938812,2938.0,2171.0,0.793790876865387,0.7858298420906067,0.7897902727127075,3091.0,3060.0,0.9582266211509705,0.5145305395126343,0.9572591185569763,0.9722247123718262,0.9838362336158752,0.9779959917068481,11136.0,11269.0,0.043478261679410934,0.029411764815449715,0.035087719559669495,68.0,46.0,0.16923077404499054,0.22448979318141937,0.19298245012760162,49.0,65.0,0.9005376100540161,0.8085277676582336,0.8520559668540955,1243.0,1116.0
3,0.7813692207758626,0.7567027615159369,0.6834495067596436,0.6781537532806396,0.6847675442695618,0.8069398999214172,0.6930000185966492,0.745642364025116,5000.0,4294.0,0.566551685333252,0.7215541005134583,0.634726881980896,4324.0,5507.0,0.5469613075256348,0.471749484539032,0.5065789222717285,2938.0,2534.0,0.835652768611908,0.8159171938896179,0.8256670236587524,3091.0,3018.0,0.7530409693717957,0.4166603684425354,0.837372899055481,0.9717954397201538,0.7611350417137146,0.8536610007286072,11136.0,8722.0,0.0064139943569898605,0.1617647111415863,0.01233875472098589,68.0,1715.0,0.017003187909722328,0.3265306055545807,0.03232323378324509,49.0,941.0,0.8112701177597046,0.7296862602233887,0.7683185338973999,1243.0,1118.0
4,0.745148912941416,0.2451134717563534,0.7018172144889832,0.6973116993904114,0.7033290266990662,0.8228901624679565,0.7117999792098999,0.7633243799209595,5000.0,4325.0,0.5793952345848083,0.740055501461029,0.6499441266059875,4324.0,5523.0,0.5808120965957642,0.4965963363647461,0.5354128479957581,2938.0,2512.0,0.8543267846107483,0.8272403478622437,0.8405654430389404,3091.0,2993.0,0.9654289484024048,0.4832632541656494,0.9635640978813171,0.9761270880699158,0.9876975417137146,0.9818782210350037,11136.0,11268.0,0.0,0.0,0.0,68.0,62.0,0.1428571492433548,0.040816325694322586,0.0634920671582222,49.0,14.0,0.9227430820465088,0.8551890850067139,0.8876826763153076,1243.0,1152.0
5,0.718818003932635,0.46730713904513727,0.7080049514770508,0.7041816115379333,0.7096216082572937,0.8337607979774475,0.7152000069618225,0.7699429392814636,5000.0,4289.0,0.5780377984046936,0.7425994277000427,0.6500657796859741,4324.0,5555.0,0.5924285054206848,0.5006807446479797,0.5427042841911316,2938.0,2483.0,0.863185703754425,0.8450339436531067,0.8540133833885193,3091.0,3026.0,0.8641965389251709,0.4196411669254303,0.8990363478660583,0.9764353632926941,0.8781429529190063,0.9246844053268433,11136.0,10015.0,0.0,0.0,0.0,68.0,152.0,0.0,0.0,0.0,49.0,866.0,0.6971975564956665,0.8205953240394592,0.7538802623748779,1243.0,1463.0
6,0.6944932283833622,0.23300606114289646,0.7238324880599976,0.7208608388900757,0.7253651022911072,0.842605471611023,0.7269999980926514,0.7805454134941101,5000.0,4314.0,0.5922452807426453,0.7594819664955139,0.6655182838439941,4324.0,5545.0,0.6212059855461121,0.5224642753601074,0.5675725936889648,2938.0,2471.0,0.8795897960662842,0.8602393865585327,0.8698070049285889,3091.0,3023.0,0.9407810568809509,0.47800928354263306,0.9340201616287231,0.9467501044273376,0.9914690852165222,0.9685937166213989,11136.0,11662.0,0.0,0.0,0.0,68.0,20.0,0.22033898532390594,0.26530611515045166,0.24074074625968933,49.0,59.0,0.929801344871521,0.5647626519203186,0.7027027010917664,1243.0,755.0
7,0.6741354578485091,0.267073025941239,0.7274799942970276,0.7250869870185852,0.7291303873062134,0.8482598662376404,0.7311999797821045,0.7853920459747314,5000.0,4310.0,0.5904590487480164,0.7585569024085999,0.6640348434448242,4324.0,5555.0,0.6389344334602356,0.5306330919265747,0.5797694325447083,2938.0,2440.0,0.8772965669631958,0.8650922179222107,0.8711516261100769,3091.0,3048.0,0.9370198249816895,0.491815447807312,0.9453439116477966,0.974027156829834,0.959770143032074,0.9668461084365845,11136.0,10973.0,0.037383176386356354,0.05882352963089943,0.04571428522467613,68.0,107.0,0.07116104662418365,0.3877550959587097,0.12025316804647446,49.0,267.0,0.8685813546180725,0.8028962016105652,0.8344481587409973,1243.0,1149.0
8,0.6626084031537175,1.1577598616061613,0.7345795631408691,0.7317899465560913,0.7356711626052856,0.8517057299613953,0.734000027179718,0.7884842753410339,5000.0,4309.0,0.5973609089851379,0.7747455835342407,0.6745871901512146,4324.0,5608.0,0.6600422859191895,0.5313138365745544,0.588723361492157,2938.0,2365.0,0.8782155513763428,0.8725331425666809,0.875365138053894,3091.0,3071.0,0.6074743866920471,0.3636220097541809,0.7369511127471924,0.9834710955619812,0.6091055870056152,0.7522874474525452,11136.0,6897.0,0.010449321009218693,0.14705882966518402,0.019512195140123367,68.0,957.0,0.007827788591384888,0.5714285969734192,0.0154440151527524,49.0,3577.0,0.7230046987533569,0.6194690465927124,0.6672443747520447,1243.0,1065.0
9,0.6440425747384627,0.2441684946875133,0.7431120872497559,0.7413930892944336,0.7450157403945923,0.8681139349937439,0.7437999844551086,0.8011633157730103,5000.0,4284.0,0.6031487584114075,0.770814061164856,0.6767512559890747,4324.0,5526.0,0.6596519351005554,0.5547991991043091,0.6026992201805115,2938.0,2471.0,0.8876953125,0.8822387456893921,0.8849586248397827,3091.0,3072.0,0.9424616098403931,0.5294917821884155,0.9433858394622803,0.9798898100852966,0.9582435488700867,0.9689458012580872,11136.0,10890.0,0.05128205195069313,0.029411764815449715,0.037383176386356354,68.0,39.0,0.3199999928474426,0.3265306055545807,0.3232323229312897,49.0,50.0,0.7172049880027771,0.875301718711853,0.7884057760238647,1243.0,1517.0
10,0.6422068137675524,0.41538659422217733,0.7409626841545105,0.7382280826568604,0.7420414090156555,0.8581002950668335,0.7426000237464905,0.7961831092834473,5000.0,4327.0,0.6004273295402527,0.7798334956169128,0.6784708499908447,4324.0,5616.0,0.6743787527084351,0.5357385873794556,0.5971168279647827,2938.0,2334.0,0.8832899928092957,0.8790035843849182,0.8811415433883667,3091.0,3076.0,0.887243926525116,0.4229024648666382,0.9093512892723083,0.9749306440353394,0.914960503578186,0.9439940452575684,11136.0,10451.0,0.0,0.0,0.0,68.0,70.0,0.03527607396245003,0.4693877696990967,0.0656205415725708,49.0,652.0,0.6613756418228149,0.703942060470581,0.6819953322410583,1243.0,1323.0
11,0.6325518917292356,0.181245426035217,0.7484530806541443,0.7466314435005188,0.7498626112937927,0.8633955121040344,0.7495999932289124,0.8024836778640747,5000.0,4341.0,0.6101940870285034,0.7779833674430847,0.6839483380317688,4324.0,5513.0,0.6804635524749756,0.5595643520355225,0.6141203045845032,2938.0,2416.0,0.8871229290962219,0.8848268985748291,0.8859734535217285,3091.0,3083.0,0.9682298302650452,0.5575830936431885,0.9679912328720093,0.9875995516777039,0.9797952771186829,0.9836819171905518,11136.0,11048.0,0.05000000074505806,0.04411764815449715,0.046875,68.0,60.0,0.3333333432674408,0.26530611515045166,0.2954545319080353,49.0,39.0,0.8687916994094849,0.9428801536560059,0.904321014881134,1243.0,1349.0
12,0.6262036455174287,0.21490829061631048,0.749104380607605,0.746999979019165,0.7504666447639465,0.8738865256309509,0.7455999851226807,0.8046622276306152,5000.0,4266.0,0.6052772402763367,0.7851526141166687,0.6835799813270569,4324.0,5609.0,0.6804558634757996,0.5486725568771362,0.6074995398521423,2938.0,2369.0,0.8896751403808594,0.8948560357093811,0.8922580480575562,3091.0,3109.0,0.9583866596221924,0.5447505116462708,0.9608123898506165,0.9886311292648315,0.968300998210907,0.9783604741096497,11136.0,10907.0,0.05970149114727974,0.05882352963089943,0.05925925821065903,68.0,67.0,0.1875,0.4285714328289032,0.260869562625885,49.0,112.0,0.8283687829971313,0.9396620988845825,0.8805126547813416,1243.0,1410.0
13,0.6208520371466875,0.18252446424797217,0.7494300603866577,0.7480385303497314,0.7507829070091248,0.8644459843635559,0.7473999857902527,0.8016732931137085,5000.0,4323.0,0.6084282994270325,0.7779833674430847,0.682837724685669,4324.0,5529.0,0.6861435770988464,0.5595643520355225,0.6164229512214661,2938.0,2396.0,0.8892109394073486,0.8932384252548218,0.8912201523780823,3091.0,3105.0,0.9681497812271118,0.5599339008331299,0.9671270847320557,0.9878634214401245,0.9794360399246216,0.9836316704750061,11136.0,11041.0,0.0,0.0,0.0,68.0,29.0,0.3529411852359772,0.36734694242477417,0.36000001430511475,49.0,51.0,0.8530908823013306,0.9436846375465393,0.8961039185523987,1243.0,1375.0
14,0.613961970495681,0.3304490397691422,0.7535334825515747,0.7512542009353638,0.7547091245651245,0.8706341981887817,0.7577999830245972,0.8103079795837402,5000.0,4352.0,0.6101297736167908,0.7828399538993835,0.6857779622077942,4324.0,5548.0,0.690344512462616,0.5524166226387024,0.6137266159057617,2938.0,2351.0,0.8936170339584351,0.8967971801757812,0.8952042460441589,3091.0,3102.0,0.9206146001815796,0.46245700120925903,0.9267720580101013,0.9680373668670654,0.9491738677024841,0.9585127830505371,11136.0,10919.0,0.010309278033673763,0.014705882407724857,0.012121211737394333,68.0,97.0,0.09793814271688461,0.3877550959587097,0.1563785970211029,49.0,194.0,0.7107309699058533,0.7353177666664124,0.7228153347969055,1243.0,1286.0
15,0.6054896691193183,0.2393946198227308,0.7556829452514648,0.7541934251785278,0.7570210099220276,0.871937096118927,0.7544000148773193,0.8089212775230408,5000.0,4326.0,0.6115405559539795,0.7867715358734131,0.6881763935089111,4324.0,5563.0,0.6967005133628845,0.5605854392051697,0.621275007724762,2938.0,2364.0,0.8970967531204224,0.8997088074684143,0.8984009027481079,3091.0,3100.0,0.94774329662323,0.5052968263626099,0.9585471749305725,0.9877743721008301,0.9577047228813171,0.9725071787834167,11136.0,10797.0,0.02083333395421505,0.029411764815449715,0.024390242993831635,68.0,96.0,0.060975611209869385,0.40816327929496765,0.10610079765319824,49.0,328.0,0.9066666960716248,0.930008053779602,0.9181890487670898,1243.0,1275.0
16,0.6021849349141121,0.6385042240838413,0.7573764324188232,0.7552539110183716,0.7585739493370056,0.875316321849823,0.7609999775886536,0.8141649961471558,5000.0,4347.0,0.6143245697021484,0.7835337519645691,0.6886878609657288,4324.0,5515.0,0.6952300667762756,0.5605854392051697,0.6206896305084229,2938.0,2369.0,0.8930172920227051,0.9019734859466553,0.8974730372428894,3091.0,3122.0,0.8088188171386719,0.4180106520652771,0.8609087467193604,0.9909608364105225,0.7974137663841248,0.883713960647583,11136.0,8961.0,0.00561797758564353,0.04411764815449715,0.009966777637600899,68.0,534.0,0.022564101964235306,0.44897958636283875,0.04296875,49.0,975.0,0.5932872891426086,0.967015266418457,0.7353931069374084,1243.0,2026.0
