batch_size,decoder_lr,destroyed_class_weight,encoder_lr,experiment_dir,loss,major_class_weight,minor_class_weight,number,objective,sampler,scheduler,state,val_macro_f1,val_mean_dice,val_rare_class_recall,value
2,0.0009282305648337897,1.2807686532220788,8.15864896167426e-05,results/week6/experiment_deeplabv3_optuna_trial_000,cross_entropy_dice,1.8479666738411202,2.2844514422733466,0,0.05156773864873685,weighted,reduce_on_plateau,TrialState.COMPLETE,0.051418863236904144,0.05141859129071236,0.0009943157201632857,0.05156773864873685
2,0.00011956481627800787,2.5779884812188127,2.9478456350625066e-05,results/week6/experiment_deeplabv3_optuna_trial_001,focal_tversky,1.7303348215165744,1.6231617176426174,1,0.34055421948432923,weighted,reduce_on_plateau,TrialState.COMPLETE,0.2940045893192291,0.29399949312210083,0.31036484241485596,0.34055421948432923
2,3.204782877982653e-05,1.597836318324882,0.00013157735769971698,results/week6/experiment_deeplabv3_optuna_trial_002,tversky,2.3514265807454633,2.209890690089315,2,0.2188985377550125,shuffle,cosine,TrialState.COMPLETE,0.425666481256485,0.1756797730922699,0.28812509775161743,0.2188985377550125
4,5.1499554377873105e-05,1.5646980725736703,5.9859005469948866e-05,results/week6/experiment_deeplabv3_optuna_trial_003,cross_entropy_dice,2.983396334137856,2.352344370210082,3,0.3015284426510334,shuffle,warmup_cosine,TrialState.COMPLETE,0.5315688252449036,0.28182584047317505,0.13135068118572235,0.3015284426510334
4,0.0004935621631522176,2.579515910824736,4.125768292460574e-05,results/week6/experiment_deeplabv3_optuna_trial_004,focal,2.9323129375403694,1.9941345990626336,4,0.104174080863595,shuffle,cosine,TrialState.COMPLETE,0.08672211319208145,0.08672201633453369,0.11634709686040878,0.104174080863595
2,0.00012726496533417025,2.2658342018512814,2.126293642913293e-05,results/week6/experiment_deeplabv3_optuna_trial_005,focal_tversky,1.4735550275650597,2.0894400910139392,5,0.2772963084280491,shuffle,reduce_on_plateau,TrialState.COMPLETE,0.2515355348587036,0.2515348196029663,0.1717432588338852,0.2772963084280491
4,4.199327422287884e-05,3.064658798742982,4.643734393967193e-05,,focal_tversky,2.1611791233664963,2.0847332003723364,6,,shuffle,reduce_on_plateau,TrialState.PRUNED,,,,0.11941916421055794
2,0.0008942995271015001,2.6786985894757565,0.00019121143149414656,,tversky,2.6685227827293625,1.935189784826101,7,,weighted,cosine,TrialState.PRUNED,,,,0.13167608212679624
4,0.00017846216439028098,2.867065342970579,1.2950772932576363e-05,results/week6/experiment_deeplabv3_optuna_trial_008,tversky,1.633072584105347,2.46460052319877,8,0.3481105402112007,shuffle,cosine,TrialState.COMPLETE,0.2985006272792816,0.2985003888607025,0.33073434233665466,0.3481105402112007
2,0.0009806295091454962,2.7635330818378216,0.0001830371730962877,,focal,2.3263811300926345,2.2810890153914967,9,,weighted,reduce_on_plateau,TrialState.PRUNED,,,,0.05187812354415655
4,0.00027140935347148127,2.0786377163420924,1.2512834461742543e-05,results/week6/experiment_deeplabv3_optuna_trial_010,tversky,1.2112918943179287,1.13568024246363,10,0.36559649258852006,shuffle,warmup_cosine,TrialState.COMPLETE,0.3209969997406006,0.32099461555480957,0.2973458468914032,0.36559649258852006
4,0.0002723642501273339,2.0450955051758557,1.3156656043912092e-05,,tversky,1.2429142652875047,1.0924146613614392,11,,shuffle,warmup_cosine,TrialState.PRUNED,,,,0.16789665929973124
