batch_size,decoder_lr,destroyed_class_weight,encoder_lr,experiment_dir,loss,major_class_weight,minor_class_weight,number,objective,sampler,scheduler,state,val_macro_f1,val_mean_dice,val_rare_class_recall,value
4,5.695517520380107e-05,1.4006140582342057,4.29346551066071e-05,results/week6/experiment_resnet50_optuna_trial_000,tversky,1.7741037541861768,1.4999366182402998,0,0.23564443439245225,weighted,reduce_on_plateau,TrialState.COMPLETE,0.18696942925453186,0.18691910803318024,0.32483550906181335,0.23564443439245225
2,0.0002502622636236124,2.5801466091363503,1.732695138933462e-05,results/week6/experiment_resnet50_optuna_trial_001,focal,1.978212933857666,2.468287229884468,1,0.10668714493513107,weighted,reduce_on_plateau,TrialState.COMPLETE,0.0728679671883583,0.07286787778139114,0.22546178102493286,0.10668714493513107
4,0.00013733342850453785,2.731157094746978,1.8074013034530395e-05,results/week6/experiment_resnet50_optuna_trial_002,focal,2.631198146482772,1.4963014702991013,2,0.12596717104315758,shuffle,reduce_on_plateau,TrialState.COMPLETE,0.3332388699054718,0.09795644879341125,0.18673814833164215,0.12596717104315758
4,0.0008129702163604196,2.301194607934551,0.00028325734588543713,results/week6/experiment_resnet50_optuna_trial_003,cross_entropy_dice,2.817887932741608,1.4323335332729514,3,0.3774133205413818,weighted,reduce_on_plateau,TrialState.COMPLETE,0.3353385329246521,0.3353384733200073,0.2804989814758301,0.3774133205413818
4,0.00024374893357779866,2.9240937763198174,0.00024656337411094317,results/week6/experiment_resnet50_optuna_trial_004,cross_entropy_dice,2.256970408147245,1.0159218094216702,4,0.23735422343015672,shuffle,cosine,TrialState.COMPLETE,0.7228618264198303,0.23054900765419006,0.04536810517311096,0.23735422343015672
4,4.174653740746081e-05,1.2175576038233467,1.9014569533589507e-05,,cross_entropy_dice,1.3543911655218208,1.4111435836293469,5,,weighted,reduce_on_plateau,TrialState.PRUNED,,,,0.05694067776203156
4,0.00011385227563618332,2.357119983492142,4.096901513756788e-05,results/week6/experiment_resnet50_optuna_trial_006,tversky,1.6431970220160537,2.4144796922750027,6,0.31611426919698715,weighted,reduce_on_plateau,TrialState.COMPLETE,0.2698964774608612,0.26987171173095703,0.3082837164402008,0.31611426919698715
4,0.00017089152830120953,2.0832128755517942,0.00018278470951170602,,focal,2.5251160029170334,1.3105539366473025,7,,shuffle,warmup_cosine,TrialState.PRUNED,,,,0.019794201850891112
2,0.0004655571759604877,2.030540317176747,2.049521055496803e-05,,focal,1.8118054732513071,1.2196176142498698,8,,shuffle,warmup_cosine,TrialState.PRUNED,,,,0.04648481626063585
4,0.0005573860590176792,1.4472370300352284,9.5396209568203e-05,,focal,1.4783205572140934,2.1999590124125916,9,,shuffle,warmup_cosine,TrialState.PRUNED,,,,0.03879270050674677
2,0.00099699919072659,1.7748454396441136,0.000107142301170614,results/week6/experiment_resnet50_optuna_trial_010,focal_tversky,2.9570425170026122,1.878855455513631,10,0.35966101139783857,weighted,cosine,TrialState.COMPLETE,0.3076244592666626,0.30762431025505066,0.34691134095191956,0.35966101139783857
2,0.0008972634045382869,1.797560392402978,0.00012493850919064728,results/week6/experiment_resnet50_optuna_trial_011,focal_tversky,2.957901760658007,1.9030110314651214,11,0.37308730483055114,weighted,cosine,TrialState.COMPLETE,0.3222014904022217,0.3221992552280426,0.33925366401672363,0.37308730483055114
