batch_size,decoder_lr,destroyed_class_weight,encoder_lr,experiment_dir,loss,major_class_weight,minor_class_weight,number,objective,sampler,scheduler,state,val_macro_f1,val_mean_dice,val_rare_class_recall,value
4,0.00013126328447170537,1.7392705068657637,2.6446682876686398e-05,results/week6/experiment_unetplusplus_optuna_trial_000,cross_entropy_dice,2.7744564657756445,2.083973983353512,0,0.07182324740570038,weighted,cosine,TrialState.COMPLETE,0.07118956744670868,0.07118695974349976,0.004241917748004198,0.07182324740570038
2,0.00010611609642808362,1.9011211616107415,5.888168743750443e-05,results/week6/experiment_unetplusplus_optuna_trial_001,cross_entropy_dice,2.01130852607842,1.6510544788979513,1,0.027729876898229124,weighted,warmup_cosine,TrialState.COMPLETE,0.02612880989909172,0.02612840197980404,0.010676499456167221,0.027729876898229124
2,6.672420364164472e-05,2.28215511737878,0.00020474675123843619,results/week6/experiment_unetplusplus_optuna_trial_002,focal_tversky,1.7698484319742742,1.7496237861415098,2,0.27589436173439025,weighted,warmup_cosine,TrialState.COMPLETE,0.23248808085918427,0.2324848473072052,0.2893967628479004,0.27589436173439025
2,0.00028087903747990703,2.768216231498707,3.9304251122048254e-05,results/week6/experiment_unetplusplus_optuna_trial_003,focal,2.821411242549946,1.4606257031652226,3,0.01665135081857443,shuffle,warmup_cosine,TrialState.COMPLETE,0.2155085653066635,0.015517333522439003,0.007560115307569504,0.01665135081857443
4,3.73754885941576e-05,2.154600561131799,1.2329294295929726e-05,results/week6/experiment_unetplusplus_optuna_trial_004,cross_entropy_dice,2.6963977624029276,1.9156213056896405,4,0.08598746489733458,shuffle,reduce_on_plateau,TrialState.COMPLETE,0.08075550198554993,0.08075524121522903,0.03488149121403694,0.08598746489733458
4,0.0002752204144738321,2.238424210753311,0.00015055374873132007,results/week6/experiment_unetplusplus_optuna_trial_005,tversky,2.3409585887222515,2.0758358146436784,5,0.18068687655031682,shuffle,reduce_on_plateau,TrialState.COMPLETE,0.1623634696006775,0.16236302256584167,0.12215902656316757,0.18068687655031682
4,0.00017802799660031706,1.690594213844632,0.0002237028522737053,results/week6/experiment_unetplusplus_optuna_trial_006,focal_tversky,2.1941082718721585,1.9687945665773345,6,0.20450044870376588,weighted,reduce_on_plateau,TrialState.COMPLETE,0.15930096805095673,0.1592126190662384,0.3019188642501831,0.20450044870376588
2,0.0003270914171134943,2.7364620322812594,0.00026875351489445877,,focal,1.5827096363456579,2.2633569025807585,7,,weighted,reduce_on_plateau,TrialState.PRUNED,,,,0.022336733620613815
2,3.953600407280807e-05,1.6327421479193345,0.0001740093207020921,,tversky,1.4404100831375632,1.6737344849946574,8,,weighted,warmup_cosine,TrialState.PRUNED,,,,0.1690000958740711
4,0.0004577788489561675,1.9917999583870982,0.0002465210992894608,results/week6/experiment_unetplusplus_optuna_trial_009,focal_tversky,1.7996008953125107,1.8944533436848632,9,0.247879658639431,weighted,reduce_on_plateau,TrialState.COMPLETE,0.3216622471809387,0.19666644930839539,0.3414213955402374,0.247879658639431
2,7.269367104163978e-05,3.137370575209646,8.961095206674837e-05,results/week6/experiment_unetplusplus_optuna_trial_010,focal_tversky,1.2786577881767052,2.4009705777766817,10,0.1967412129044533,shuffle,cosine,TrialState.COMPLETE,0.1511116325855255,0.15106001496315002,0.30454131960868835,0.1967412129044533
4,0.0008774323329695764,2.3278153073949532,0.00010211858542841954,,focal_tversky,1.8116030000404482,1.0716960093502537,11,,weighted,warmup_cosine,TrialState.PRUNED,,,,0.10443227868527175
