sample_id,reason,file_count,bytes,files
guatemala-volcano_00000000,outside_morocco_adaptation,4,3233019,data/train/images/guatemala-volcano_00000000_pre_disaster.png;data/train/images/guatemala-volcano_00000000_post_disaster.png;data/train/labels/guatemala-volcano_00000000_pre_disaster.json;data/train/labels/guatemala-volcano_00000000_post_disaster.json
guatemala-volcano_00000001,outside_morocco_adaptation,4,3192059,data/train/images/guatemala-volcano_00000001_pre_disaster.png;data/train/images/guatemala-volcano_00000001_post_disaster.png;data/train/labels/guatemala-volcano_00000001_pre_disaster.json;data/train/labels/guatemala-volcano_00000001_post_disaster.json
guatemala-volcano_00000002,outside_morocco_adaptation,4,3245170,data/train/images/guatemala-volcano_00000002_pre_disaster.png;data/train/images/guatemala-volcano_00000002_post_disaster.png;data/train/labels/guatemala-volcano_00000002_pre_disaster.json;data/train/labels/guatemala-volcano_00000002_post_disaster.json
guatemala-volcano_00000006,outside_morocco_adaptation,4,3619153,data/train/images/guatemala-volcano_00000006_pre_disaster.png;data/train/images/guatemala-volcano_00000006_post_disaster.png;data/train/labels/guatemala-volcano_00000006_pre_disaster.json;data/train/labels/guatemala-volcano_00000006_post_disaster.json
guatemala-volcano_00000007,outside_morocco_adaptation,4,3405409,data/train/images/guatemala-volcano_00000007_pre_disaster.png;data/train/images/guatemala-volcano_00000007_post_disaster.png;data/train/labels/guatemala-volcano_00000007_pre_disaster.json;data/train/labels/guatemala-volcano_00000007_post_disaster.json
guatemala-volcano_00000008,outside_morocco_adaptation+no_valid_damage_label,4,3994155,data/train/images/guatemala-volcano_00000008_pre_disaster.png;data/train/images/guatemala-volcano_00000008_post_disaster.png;data/train/labels/guatemala-volcano_00000008_pre_disaster.json;data/train/labels/guatemala-volcano_00000008_post_disaster.json
guatemala-volcano_00000010,outside_morocco_adaptation,4,3061601,data/train/images/guatemala-volcano_00000010_pre_disaster.png;data/train/images/guatemala-volcano_00000010_post_disaster.png;data/train/labels/guatemala-volcano_00000010_pre_disaster.json;data/train/labels/guatemala-volcano_00000010_post_disaster.json
guatemala-volcano_00000013,outside_morocco_adaptation,4,3665498,data/train/images/guatemala-volcano_00000013_pre_disaster.png;data/train/images/guatemala-volcano_00000013_post_disaster.png;data/train/labels/guatemala-volcano_00000013_pre_disaster.json;data/train/labels/guatemala-volcano_00000013_post_disaster.json
guatemala-volcano_00000015,outside_morocco_adaptation,4,4108145,data/train/images/guatemala-volcano_00000015_pre_disaster.png;data/train/images/guatemala-volcano_00000015_post_disaster.png;data/train/labels/guatemala-volcano_00000015_pre_disaster.json;data/train/labels/guatemala-volcano_00000015_post_disaster.json
guatemala-volcano_00000016,outside_morocco_adaptation,4,3655791,data/train/images/guatemala-volcano_00000016_pre_disaster.png;data/train/images/guatemala-volcano_00000016_post_disaster.png;data/train/labels/guatemala-volcano_00000016_pre_disaster.json;data/train/labels/guatemala-volcano_00000016_post_disaster.json
