sample_id,score,minority_pixels,minority_buildings,background_pixels,no_damage_pixels,minor_damage_pixels,major_damage_pixels,destroyed_pixels,background_buildings,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings,pre_image,post_image,pre_label,post_label
nepal-flooding_00000421,825.9369,94273,165,953985,0,80775,13498,318,0,0,143,22,1,data/tier3/train/images/nepal-flooding_00000421_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000421_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000421_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000421_post_disaster.json
nepal-flooding_00000408,682.0368,53098,205,994169,1309,5537,47561,0,0,8,25,180,0,data/tier3/train/images/nepal-flooding_00000408_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000408_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000408_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000408_post_disaster.json
nepal-flooding_00000036,565.9962,33122,124,1009692,5644,22798,10324,118,0,31,89,35,3,data/tier3/train/images/nepal-flooding_00000036_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000036_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000036_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000036_post_disaster.json
nepal-flooding_00000231,552.6018,39598,134,1007618,890,13612,25986,470,0,7,66,68,8,data/tier3/train/images/nepal-flooding_00000231_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000231_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000231_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000231_post_disaster.json
nepal-flooding_00000225,526.9,49098,127,950463,48166,18353,30745,849,0,208,62,65,7,data/tier3/train/images/nepal-flooding_00000225_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000225_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000225_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000225_post_disaster.json
nepal-flooding_00000338,517.1978,31386,144,1001207,15983,8910,22476,0,0,94,37,107,0,data/tier3/train/images/nepal-flooding_00000338_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000338_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000338_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000338_post_disaster.json
nepal-flooding_00000313,469.9516,44358,123,974859,27880,13221,31137,1479,0,69,42,81,2,data/tier3/train/images/nepal-flooding_00000313_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000313_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000313_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000313_post_disaster.json
nepal-flooding_00000476,466.4168,27762,93,970017,50797,25441,2321,0,0,179,87,6,0,data/tier3/train/images/nepal-flooding_00000476_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000476_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000476_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000476_post_disaster.json
nepal-flooding_00000427,465.3763,45565,90,948494,54015,43534,2031,502,0,111,86,4,2,data/tier3/train/images/nepal-flooding_00000427_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000427_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000427_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000427_post_disaster.json
nepal-flooding_00000563,458.5112,43896,94,980626,24054,36712,7184,0,0,46,78,16,0,data/tier3/train/images/nepal-flooding_00000563_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000563_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000563_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000563_post_disaster.json
